cadence,elevation,distance,temperature,humidity,aqi,heart_rate
160,32.8,3.2,19.0,63.1,37,92
159,32.9,6.1,19.0,63.1,37,90
156,32.9,8.6,19.0,63.1,37,91
159,32.9,11.9,19.0,63.1,37,90
160,32.9,14.8,19.0,63.1,37,93
156,33.0,17.5,19.0,63.1,37,91
158,33.0,19.9,19.0,63.1,37,91
158,33.0,23.4,19.0,63.1,37,92
159,33.1,26.0,19.0,63.1,37,90
160,33.2,29.3,19.0,63.1,37,93
159,33.2,32.6,19.0,63.1,37,91
160,33.3,35.7,19.0,63.1,37,93
156,33.3,38.3,19.0,63.1,37,90
158,33.4,41.6,19.0,63.1,37,92
158,33.4,44.9,19.0,63.1,37,90
156,33.4,47.6,19.0,63.1,37,90
160,33.4,50.4,19.0,63.1,37,93
157,33.4,53.0,19.0,63.1,37,91
157,33.4,56.5,19.0,63.1,37,92
159,33.5,60.1,19.0,63.1,37,93
160,33.5,63.9,19.0,63.1,37,92
157,33.5,66.9,19.0,63.1,37,91
156,33.5,69.9,19.0,63.1,37,91
158,33.5,72.5,19.0,63.1,37,92
160,33.5,76.0,19.0,63.1,37,94
158,33.5,79.4,19.0,63.1,37,91
159,33.5,83.0,19.0,63.1,37,91
156,33.5,85.6,19.0,63.1,37,90
160,33.5,88.1,19.0,63.1,37,93
158,33.5,91.2,19.0,63.1,37,93
160,33.5,94.0,19.0,63.1,37,93
158,33.6,97.1,19.0,63.1,37,91
158,33.6,100.2,19.0,63.1,37,92
158,33.7,103.9,19.0,63.1,37,92
159,33.7,107.2,19.0,63.1,37,93
160,33.7,110.3,19.0,63.1,37,93
160,33.7,113.6,19.0,63.1,37,92
157,33.7,116.6,19.0,63.1,37,91
158,33.7,119.1,19.0,63.1,37,92
157,33.7,122.1,19.0,63.1,37,90
159,33.8,124.5,19.0,63.1,37,91
158,33.7,128.0,19.0,63.1,37,93
158,33.8,130.6,19.0,63.1,37,91
160,33.8,133.7,19.0,63.1,37,92
159,33.8,136.3,19.0,63.1,37,92
160,33.8,139.4,19.0,63.1,37,92
158,33.7,142.1,19.0,63.1,37,91
159,33.7,145.5,19.0,63.1,37,93
158,33.7,148.7,19.0,63.1,37,91
159,33.7,152.3,19.0,63.1,37,92
160,33.7,156.0,19.0,63.1,37,95
157,33.7,159.7,19.0,63.1,37,91
159,33.8,162.5,19.0,63.1,37,93
156,33.8,165.6,19.0,63.1,37,92
159,33.9,169.2,19.0,63.1,37,94
156,33.9,172.1,19.0,63.1,37,92
159,33.9,175.1,19.0,63.1,37,92
157,33.9,177.9,19.0,63.1,37,94
156,33.9,181.4,19.0,63.1,37,91
158,33.9,185.1,19.0,63.1,37,90
158,34.0,188.0,19.0,63.1,37,92
160,34.0,191.4,19.0,63.1,37,94
156,34.0,194.3,19.0,63.1,37,90
158,34.1,198.1,19.0,63.1,37,91
159,34.1,201.0,19.0,63.1,37,92
157,34.0,204.7,19.0,63.1,37,92
159,34.0,208.1,19.0,63.1,37,93
159,34.0,211.6,19.0,63.1,37,93
159,34.0,214.6,19.0,63.1,37,93
157,33.9,217.1,19.0,63.1,37,92
157,34.0,219.8,19.0,63.1,37,92
158,34.0,222.4,19.0,63.1,37,92
158,34.0,226.1,19.0,63.1,37,92
159,34.0,229.1,19.0,63.1,37,93
156,33.9,232.8,19.0,63.1,37,90
159,34.0,235.6,19.0,63.1,37,92
156,34.0,238.1,19.0,63.1,37,93
157,34.0,240.8,19.0,63.1,37,93
157,34.0,243.4,19.0,63.1,37,92
157,34.0,246.5,19.0,63.1,37,91
159,34.0,249.6,19.0,63.1,37,93
157,34.1,252.8,19.0,63.1,37,93
158,34.1,255.9,19.0,63.1,37,93
